Strain name,Amikacin,Tobramycin,Gentamicin,Imipenem,Meropenem,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/ tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/ sulfamethoxazole,Ampicillin/ sulbactam,Colistin,Polymyxin B,Tetracycline,Minocycline,Piperacillin
Acinetobacterbaumanniia068,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia069,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia070,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia074,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia078,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia080,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia085,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia091,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia092,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia093,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia094,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,Susceptible,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia096,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia097,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia099,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia101,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniia105,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniistrain130,NA,Resistant,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain16533,Intermediate,Intermediate,Intermediate,Resistant,Resistant,NA,Intermediate,Intermediate,Intermediate,NA,Resistant,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,NA,Intermediate,NA
Acinetobacterbaumanniistrain171,NA,Resistant,Susceptible,NA,Resistant,NA,Resistant,Intermediate,NA,NA,NA,Resistant,Resistant,Resistant,Susceptible,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain177,NA,Susceptible,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain182,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain183,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Susceptible,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain20858,Intermediate,Intermediate,Intermediate,Resistant,Resistant,NA,Intermediate,Intermediate,Intermediate,NA,Resistant,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,NA,Intermediate,NA
Acinetobacterbaumanniistrain2375,Intermediate,Intermediate,Intermediate,Resistant,Resistant,NA,Intermediate,Intermediate,Intermediate,NA,Resistant,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,NA,Susceptible,NA
Acinetobacterbaumanniistrain260,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain29282,Intermediate,Intermediate,Intermediate,Resistant,Resistant,NA,Intermediate,Intermediate,Intermediate,NA,Resistant,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,Susceptible,NA
Acinetobacterbaumanniistrain2992,Intermediate,Intermediate,Intermediate,Resistant,Resistant,NA,Intermediate,Intermediate,Intermediate,NA,Resistant,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,NA,Susceptible,NA
Acinetobacterbaumanniistrain329,NA,Resistant,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Susceptible,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain34301,Intermediate,Intermediate,Intermediate,Resistant,Resistant,NA,Intermediate,Intermediate,Intermediate,NA,Resistant,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,NA,Susceptible,NA
Acinetobacterbaumanniistrain360,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain362,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain456,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Intermediate,Strain could not be classified,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain468,NA,Susceptible,Intermediate,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain473,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrain5326,Intermediate,Susceptible,Intermediate,Resistant,Resistant,NA,Intermediate,Intermediate,Intermediate,NA,Resistant,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,NA,Susceptible,NA
Acinetobacterbaumanniistrain5457,Intermediate,Intermediate,Intermediate,Resistant,Resistant,NA,Intermediate,Intermediate,Intermediate,NA,Resistant,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,NA,Susceptible,NA
Acinetobacterbaumanniistrain5464,Intermediate,Intermediate,Intermediate,Resistant,Resistant,NA,Intermediate,Intermediate,Intermediate,NA,Resistant,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,NA,Susceptible,NA
Acinetobacterbaumanniistrain6507,Intermediate,Intermediate,Intermediate,Resistant,Resistant,NA,Intermediate,Intermediate,Intermediate,NA,Resistant,Resistant,Resistant,Resistant,Strain could not be classified,Strain could not be classified,Intermediate,NA,NA,Intermediate,NA
Acinetobacterbaumanniistrain87,NA,Resistant,Intermediate,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Strain could not be classified,NA,NA,NA,Resistant,NA,NA
Acinetobacterbaumanniistrainab105,NA,NA,Resistant,NA,Resistant,NA,Resistant,NA,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniistrainab238,NA,NA,Intermediate,NA,Resistant,NA,Resistant,NA,NA,NA,NA,NA,Resistant,NA,NA,Strain could not be classified,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniistrainab241,NA,NA,Resistant,NA,Resistant,NA,Resistant,NA,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniistrainab32,NA,NA,Intermediate,NA,Resistant,NA,Resistant,NA,NA,NA,NA,NA,Resistant,NA,NA,Strain could not be classified,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniistrainab905,NA,NA,Intermediate,NA,Resistant,NA,Resistant,NA,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Intermediate,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth03,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth04,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth05,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth06,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth07,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth08,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth09,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth10,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
