Strain name,Amikacin,Tobramycin,Gentamicin,Imipenem,Meropenem,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/ tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/ sulfamethoxazole,Ampicillin/ sulbactam,Colistin,Polymyxin B,Tetracycline,Minocycline,Piperacillin
Acinetobacterbaumanniia068,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia069,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia070,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia074,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia078,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia080,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia085,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia091,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia092,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia093,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia094,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia096,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia097,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia099,NA,NA,NA,Resistant,Strain could not be classified,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia101,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniia105,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniistrain130,NA,Resistant,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain16533,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Strain could not be classified,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,Strain could not be classified,Susceptible,NA,NA,Strain could not be classified,NA
Acinetobacterbaumanniistrain171,NA,Resistant,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Susceptible,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain177,NA,Susceptible,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain182,NA,Susceptible,Susceptible,NA,Strain could not be classified,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain183,NA,Susceptible,Susceptible,NA,Strain could not be classified,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Susceptible,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain20858,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Strain could not be classified,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,Strain could not be classified,Susceptible,NA,NA,Strain could not be classified,NA
Acinetobacterbaumanniistrain2375,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Strain could not be classified,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,Strain could not be classified,Susceptible,NA,NA,Strain could not be classified,NA
Acinetobacterbaumanniistrain260,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain29282,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Strain could not be classified,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,Strain could not be classified,Resistant,NA,NA,Strain could not be classified,NA
